BÁO CÁO QUY ĐỔI CONVERSION ITEM MASTER,,,,,,,,,,,,,,
Item No,Item Name,UOM1,UOM2,UOM Conversion,UOM Piece,Type Item,Tấn/ UOM Conversion,M3/ UOM Conversion,UOM Conversion / Pallet,UOM Conv / Pal Layer,UOM2/UOM1,UOM Conv/Piece,Pallet chồng đôi,Item Status
06KM00169,Nắp thố thủy tinh vuông 130mm,Cai,,Cai,,POSM,,,,,1,,,Active
02OM00382,Mì khoai tây Omachi Special Bò hầm xốt vang MB 30gói x 92gr,Goi,Thu,Thu,Goi,FG,3.00E-03,0.0153615,84,,30,30,Y,Active
04MS00575,Màng dầu mì khoai tây Omachi Special Bò hầm khoai tây xốt vang MB (1300m x 140mm x 69µm),Cuo,Met,Met,,PG,,,,,0,,,Active
97KM00860,Móc treo xúc xích,Cai,,Cai,,POSM,0.00015,0.000495,"2,000",,1,,,Active
03HG00224,Hạt nêm CHIN-SU ngọt Tôm thơm thịt MN KM 1chai nước chấm Tam Thái Tử Nhị ca 500ml - 6gói x 1.8kg,Goi,Thu,Thu,Goi,FG,0.0126,0.037217422,30,6,6,6,,Active
06KM00168,Thố thủy tinh vuông 0589F,Cai,,Cai,,POSM,,,,,1,,,Active
97KM01050,Hộp quà đựng heo nhồi bông Woa! ngon (305x245x130)mm,Cai,,Cai,,POSM,0.00024,0.0012996,600,,1,,,Active
02OM00381,Mì khoai tây Omachi Special Bò hầm xốt vang 30gói x 92gr,Goi,Thu,Thu,Goi,FG,3.06E-03,0.0142338,90,30,30,30,Y,Active
04MS00574,Màng dầu mì khoai tây Omachi Special Bò hầm khoai tây xốt vang MN (1300m x 140mm x 69µm),Cuo,Met,Met,,PG,,,"93,600",,0,,,Active
97KM00858,Decal dán rổ nhựa Ngũ Cốc,Cai,,Cai,,POSM,0.000005,4.81067E-06,,,1,,,Active
97KM00857,Rổ nhựa nhỏ Ngũ Cốc,Cai,,Cai,,POSM,0.000074,0.00037296,,,1,,,Active
PRMS00276,Premix PR00276,Kgs,,Kgs,,RM,0.001,,500,,1,,,Active
99CB00120,BTP xốt mì khoai tây OMC Special Bò hầm khoai tây xốt vang MN,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
ACNU00120,Vitamin E acetate care (NLL020020),Kgs,,Kgs,,RM,0.001,,100,,1,,,Active
BGTF00276,Thùng cà phê Wake up HC 50stick XK Elom (440x220x390)mm,Cai,,Cai,,PG,,,480,,1,,,Active
99DA00258,Gói dầu mì khoai tây OMC Special Bò hầm khoai tây xốt vang MN,Goi,,Goi,,IP,,,,,1,,,Active
99CB00119,BTP dầu bò mì khoai tây OMC Special Bò hầm khoai tây xốt vang,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
99RA00057,Gói rau mì khoai tây OMC Special Bò hầm khoai tây xốt vang,Goi,,Goi,,IP,,,"126,000",,1,,,Active
BNTU00274,Túi cà phê Wake up HC 50stick XK Elom (400 x 220)mm x XH 100mm,Cai,,Cai,,PG,,,"120,000",,1,,,Active
99CB00121,BTP xốt mì khoai tây OMC Special Bò hầm khoai tây xốt vang MB,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
99DA00260,Gói dầu mì khoai tây OMC Special Bò hầm khoai tây xốt vang MB (Hải Dương),Goi,,Goi,,IP,0.0000123,0.0000244,,,1,,,Active
97KM00983,Máy cắt mỏ gà,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00987,Brochure ANCO (gia cầm),Cai,,Cai,,POSM,,,,,1,,,Active
97KM00991,Brochure Bio-zeem,Cai,,Cai,,POSM,,,,,1,,,Active
ABMD00049,Muối hạt - loại 1,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
99.PP10,Phế phẩm bán phế,Kgs,,Kgs,,PG,0.001,,,,1,,,Active
97KM00995,Đèn úm heo con,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00996,Đui đèn heo con,Cai,,Cai,,POSM,,,,,1,,,Active
BGTV00099,Thùng carton NK Vĩnh Hảo không gas tự nhiên 4chai x 5L (315x310x350)mm,Cai,,Cai,,PG,0.00042,0.00264,"1,600",,1,,,Active
97KM01052,Thiệp Woa! Ngon,Cai,,Cai,,POSM,0.000006,0.0000129,"100,000",,1,,,Active
BGTV00098,Thùng carton NK Vĩnh Hảo không gas tự nhiên 12chai x 1.5L (366x277x307)mm,Cai,,Cai,,PG,0.00038,0.00253,"1,600",,1,,,Active
97KM01012,Cân đồng hồ 5kg,Cai,,Cai,,POSM,,,,,1,,,Active
97KM01013,Cân đồng hồ 150kg,Cai,,Cai,,POSM,,,,,1,,,Active
97KM01019,Kéo đầu bằng 16.5cm,Cai,,Cai,,POSM,,,,,1,,,Active
97KM01053,Chén sứ Vinacafe,Cai,,Cai,,POSM,0.000208333,0.000491563,"1,920",,1,,,Active
BGNN00111,Nhãn nhựa NK Vĩnh Hảo không gas tự nhiên 1.5L (89x146)mm,Cuo,Cai,Cai,,PG,1.72E-06,3.13E-06,"449,400",,0,,,Active
97KM01022,Ống tiêm inox 20 cc (cái/người),Cai,,Cai,,POSM,,,,,1,,,Active
31566,Chân gà P (S) nội địa,Kgs,,Kgs,,FG,0.001,,,,1,,,Active
31567,Chân gà rút xương (P) nội địa,Kgs,,Kgs,,FG,0.001,,,,1,,,Active
97KM01029,Kềm bấm thẻ tai Heo,Cai,,Cai,,POSM,,,,,1,,,Active
97KM01030,Nhiệt Kế điện tử,Cai,,Cai,,POSM,,,,,1,,,Active
97KM01037,Xi lanh 10cc,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00856,Banner bia Sư Tử Trắng ngang (2000 x 800)mm,Cai,,Cai,,POSM,,,,,1,,,Active
97KM01040,Kiềm cắt đuôi điện,Cai,,Cai,,POSM,,,,,1,,,Active
97KM01043,Hộp lạnh bảo quản mẫu,Cai,,Cai,,POSM,,,,,1,,,Active
